State_Name,Season,Crop,Area,Production
2,1,11,82.0,51.0
2,4,7,91.0,190.0
2,4,18,51461.0,15438.0
2,4,13,15060.0,19819.0
2,4,16,21391.0,19444.0
2,4,22,7.0,2.0
2,4,9,1212.0,6787.0
2,4,10,22.0,7.0
2,4,23,535.0,11180.0
2,4,17,614.0,986.0
2,4,1,10826.0,25463.0
2,4,25,70.0,13.0
2,4,19,414.0,123.0
2,2,2,36.0,1302.0
2,2,29,1129.0,19414.0
2,2,30,706.0,11959.0
2,2,4,839.0,3285828.0
2,2,26,5646.0,610.0
2,2,31,118.0,2048.0
2,2,32,3935.0,58337.0
2,2,33,13441.0,224640.0
2,2,34,3241.0,3586.0
2,2,36,1381.0,60038.0
2,2,5,454.0,32386.0
2,2,6,30.0,217.0
2,2,37,2827.0,17509.0
2,1,12,32752.0,7893.0
2,1,15,8933.0,7041.0
2,1,7,3402.0,11288.0
2,1,13,857823.0,684543.0
2,1,16,4300.0,5693.0
2,1,9,3495.0,10031.0
2,1,10,1464.0,545.0
2,1,23,1324.0,24824.0
2,1,17,3166.0,5860.0
2,1,1,24335.0,85051.0
2,1,25,661.0,307.0
2,1,28,1131.0,691.0
2,1,14,56819.0,34209.0
2,1,11,76.0,37.0
2,4,7,155.0,754.0
2,4,18,42106.0,9516.0
2,4,13,14500.0,21736.0
2,4,16,11871.0,14269.0
2,4,22,34.0,4.0
2,4,9,3572.0,25822.0
2,4,10,3.0,1.0
2,4,23,234.0,4830.0
2,4,17,397.0,897.0
2,4,1,9240.0,21622.0
2,4,25,36.0,17.0
2,4,14,27228.0,9530.0
2,4,19,393.0,88.0
2,2,2,324.0,16897.0
2,2,4,837.0,6413350.0
2,2,26,2439.0,290.0
2,2,27,2.0,20.0
2,2,5,400.0,34072.0
2,2,6,33.0,68.0
2,2,8,4.0,36.0
2,1,12,35013.0,23704.0
2,1,15,3295.0,3450.0
2,1,7,2178.0,6175.0
2,1,13,877029.0,362213.0
2,1,16,3759.0,3879.0
2,1,9,5958.0,21538.0
2,1,10,1078.0,747.0
2,1,23,985.0,17025.0
2,1,17,2303.0,4394.0
2,1,1,25008.0,69972.0
2,1,25,854.0,455.0
2,1,28,421.0,232.0
2,1,11,69.0,24.0
2,4,7,58.0,214.0
2,4,18,49105.0,48172.0
